add-none,2,1000,4000,159288,39,0
add-none,2,10000,40000,706734,17,-1007
add-none,2,100000,400000,7464628,18,-29745
add-none,4,100,800,180707,225,0
add-none,4,1000,8000,208082,26,0
add-none,4,10000,80000,1689519,21,-2524
add-none,4,100000,800000,17708220,22,-31407
add-none,8,100,1600,334865,209,0
add-none,8,1000,16000,348337,21,0
add-none,8,10000,160000,3621225,22,-623
add-none,8,100000,1600000,33289295,20,-20460
add-none,12,100,2400,513079,213,0
add-none,12,1000,24000,600450,25,507
add-none,12,10000,240000,5107648,21,-982
add-none,12,100000,2400000,49592549,20,-22172
add-yield-none,2,10,40,144914,3622,3
add-yield-none,4,10,80,211001,2637,0
add-yield-none,8,10,160,318754,1992,0
add-yield-none,12,10,240,415399,1730,0
add-yield-none,2,20,80,150497,1881,0
add-yield-none,4,20,160,202581,1266,0
add-yield-none,8,20,320,364260,1138,0
add-yield-none,12,20,480,451751,941,0
add-yield-none,2,40,160,167624,1047,0
add-yield-none,4,40,320,198117,619,41
add-yield-none,8,40,640,310144,484,99
add-yield-none,12,40,960,433255,451,101
add-yield-none,2,80,320,203072,634,73
add-yield-none,4,80,640,247904,387,143
add-yield-none,8,80,1280,376646,294,38
add-yield-none,12,80,1920,542712,282,129
add-yield-none,2,100,400,222681,556,0
add-yield-none,4,100,800,274252,342,7
add-yield-none,8,100,1600,375639,234,210
add-yield-none,12,100,2400,498215,207,151
add-yield-none,2,1000,4000,1027815,256,0
add-yield-none,4,1000,8000,1255706,156,109
add-yield-none,8,1000,16000,1442500,90,264
add-yield-none,12,1000,24000,1892171,78,353
add-yield-none,2,10000,40000,9846073,246,0
add-yield-none,4,10000,80000,11402764,142,0
add-yield-none,8,10000,160000,11772422,73,-66
add-yield-none,12,10000,240000,17681550,73,-2224
add-yield-none,2,100000,400000,77359382,193,1585
add-yield-none,4,100000,800000,106456417,133,-769
add-yield-none,8,100000,1600000,127818911,79,-1230
add-yield-none,12,100000,2400000,157350474,65,-12805
add-none,1,100,200,134507,672,0
add-none,1,1000,2000,134619,67,0
add-none,1,10000,20000,259323,12,0
add-none,1,100000,200000,1464197,7,0
add-none,1,1000000,2000000,17425743,8,0
add-none,2,100,400,110715,276,0
add-none,2,1000,4000,182794,45,272
add-none,2,10000,40000,769621,19,729
add-none,2,100000,400000,6918628,17,-11071
add-none,2,1000000,4000000,63238415,15,1767
add-none,4,100,800,152456,190,0
add-none,4,1000,8000,236711,29,10
add-none,4,10000,80000,1635966,20,-7746
add-none,4,100000,800000,14558754,18,-114973
add-none,4,1000000,8000000,146025531,18,-600579
add-yield-none,1,100,200,198490,992,0
add-yield-none,1,1000,2000,976599,488,0
add-yield-none,1,10000,20000,8566046,428,0
add-yield-none,1,100000,200000,66193632,330,0
add-yield-none,1,1000000,2000000,478354871,239,0
add-yield-none,2,100,400,228917,572,78
add-yield-none,2,1000,4000,1116190,279,0
add-yield-none,2,10000,40000,9858283,246,73
add-yield-none,2,100000,400000,87158020,217,-568
add-yield-none,2,1000000,4000000,806254364,201,4348
add-yield-none,4,100,800,265738,332,82
add-yield-none,4,1000,8000,1236359,154,26
add-yield-none,4,10000,80000,11226022,140,-195
add-yield-none,4,100000,800000,108771064,135,1453
add-yield-none,4,1000000,8000000,987144513,123,-325962
add-yield-m,2,10000,40000,24011659,600,0
add-yield-m,4,10000,80000,70969271,887,0
add-yield-m,8,10000,160000,194314195,1214,0
add-yield-m,12,10000,240000,355637814,1481,0
add-yield-c,2,10000,40000,12565379,314,0
add-yield-c,4,10000,80000,40324497,504,0
add-yield-c,8,10000,160000,86845275,542,0
add-yield-c,12,10000,240000,176529001,735,0
add-yield-s,2,10000,40000,12533445,313,0
add-yield-s,4,10000,80000,51967120,649,0
add-yield-s,8,1000,16000,13056182,816,0
add-yield-s,12,1000,24000,24874198,1036,0
add-m,1,10000,20000,917952,45,0
add-m,2,10000,40000,3924481,98,0
add-m,4,10000,80000,14463845,180,0
add-m,8,10000,160000,35715832,223,0
add-m,12,10000,240000,53737858,223,0
add-c,1,10000,20000,554742,27,0
add-c,2,10000,40000,2413823,60,0
add-c,4,10000,80000,7381185,92,0
add-c,8,10000,160000,17799496,111,0
add-c,12,10000,240000,30179904,125,0
add-s,1,10000,20000,433861,21,0
add-s,2,10000,40000,3578989,89,0
add-s,4,10000,80000,14409209,180,0
add-s,8,10000,160000,52215129,326,0
add-s,12,10000,240000,133297108,555,0
