list-i-m,12,32,1,1152,2280553,1979, 17147
list-d-m,12,32,1,1152,2620709,2274, 20165
list-il-m,12,32,1,1152,8649391,7508, 54817
list-dl-m,12,32,1,1152,8872707,7702, 52841
list-i-s,12,32,1,1152,3973824,3449, 33617
list-d-s,12,32,1,1152,3550885,3082, 28663
list-il-s,12,32,1,1152,12603232,10940, 108835
list-dl-s,12,32,1,1152,12532181,10878, 108152
list-id-none,1,1,4,3,106445,35481, 0
list-id-none,4,1,4,12,106374,8864, 0
list-id-none,8,1,4,24,266305,11096, 0
list-id-none,12,1,4,36,293569,8154, 0
list-id-none,16,1,4,48,436355,9090, 0
list-id-none,1,2,4,6,69761,11626, 0
list-id-none,4,2,1,24,114015,4750, 0
list-id-none,12,2,4,72,318777,4427, 0
list-id-none,1,4,4,12,84617,7051, 0
list-id-none,8,4,4,96,236530,2463, 0
list-id-none,16,4,4,192,426616,2221, 0
list-id-none,1,8,4,24,77841,3243, 0
list-id-none,4,8,4,96,109427,1139, 0
list-id-none,8,8,4,192,234622,1221, 0
list-id-none,12,8,4,288,324287,1125, 0
list-id-none,1,16,4,48,95525,1990, 0
list-id-none,4,16,4,192,177172,922, 0
list-id-m,1,10,4,30,150627,5020, 97
list-id-m,4,10,4,120,174474,1453, 727
list-id-m,8,10,4,240,316844,1320, 1939
list-id-m,12,10,4,360,476583,1323, 3052
list-id-m,16,10,4,480,525601,1095, 2150
list-id-m,1,20,4,60,77838,1297, 65
list-id-m,4,20,4,240,286605,1194, 1440
list-id-m,8,20,4,480,510164,1062, 3266
list-id-m,12,20,4,720,844446,1172, 6929
list-id-m,16,20,4,960,977222,1017, 6584
list-id-m,1,40,4,120,166935,1391, 64
list-id-m,4,40,4,480,450988,939, 1391
list-id-m,8,40,4,960,914660,952, 3813
list-id-m,12,40,4,1440,1506353,1046, 7419
list-id-m,16,40,4,1920,1919347,999, 9839
list-id-m,1,80,4,240,163054,679, 55
list-id-m,4,80,4,960,872813,909, 1498
list-id-m,8,80,4,1920,2008725,1046, 4501
list-id-m,12,80,4,2880,3123893,1084, 8649
list-id-m,16,80,4,3840,4203164,1094, 12501
list-id-s,1,10,4,30,78486,2616, 52
list-id-s,4,10,4,120,153253,1277, 474
list-id-s,8,10,4,240,250210,1042, 356
list-id-s,12,10,4,360,383150,1064, 306
list-id-s,16,10,4,480,425030,885, 317
list-id-s,1,20,4,60,111011,1850, 48
list-id-s,4,20,4,240,234088,975, 912
list-id-s,8,20,4,480,415579,865, 2360
list-id-s,12,20,4,720,787920,1094, 5842
list-id-s,16,20,4,960,908247,946, 6034
list-id-s,1,40,4,120,116935,974, 45
list-id-s,4,40,4,480,367431,765, 970
list-id-s,8,40,4,960,736506,767, 2952
list-id-s,12,40,4,1440,1594138,1107, 8009
list-id-s,16,40,4,1920,2172167,1131, 11488
list-id-s,1,80,4,240,187481,781, 43
list-id-s,4,80,4,960,728917,759, 1140
list-id-s,8,80,4,1920,1604734,835, 3485
list-id-s,12,80,4,2880,3549787,1232, 9922
list-id-s,16,80,4,3840,5502273,1432, 16661
list-none-m,1,1000,1,3000,4175453,1391, 50
list-none-m,2,1000,1,6000,24068822,4011, 4042
list-none-m,4,1000,1,12000,84552120,7046, 20947
list-none-m,8,1000,1,24000,371936128,15497, 104525
list-none-m,12,1000,1,36000,906081628,25168, 263328
list-none-m,1,1000,4,3000,1550120,516, 49
list-none-m,2,1000,4,6000,9445829,1574, 935
list-none-m,4,1000,4,12000,21138154,1761, 3356
list-none-m,8,1000,4,24000,54090645,2253, 11808
list-none-m,12,1000,4,36000,112136211,3114, 27773
list-none-m,1,1000,8,3000,1097446,365, 48
list-none-m,2,1000,8,6000,6739315,1123, 478
list-none-m,4,1000,8,12000,11138797,928, 1350
list-none-m,8,1000,8,24000,22515441,938, 3836
list-none-m,12,1000,8,36000,44797252,1244, 9075
list-none-m,1,1000,16,3000,861441,287, 48
list-none-m,2,1000,16,6000,4435593,739, 291
list-none-m,4,1000,16,12000,6956879,579, 627
list-none-m,8,1000,16,24000,12338185,514, 1652
list-none-m,12,1000,16,36000,20495148,569, 3312
list-none-s,1,1000,1,3000,4117881,1372, 44
list-none-s,2,1000,1,6000,38754084,6459, 6417
list-none-s,4,1000,1,12000,108857475,9071, 26210
list-none-s,8,1000,1,24000,419661431,17485, 121395
list-none-s,12,1000,1,36000,1134071124,31501, 345266
list-none-s,1,1000,4,3000,1481603,493, 44
list-none-s,2,1000,4,6000,14007014,2334, 693
list-none-s,4,1000,4,12000,27959804,2329, 3988
list-none-s,8,1000,4,24000,49228277,2051, 10105
list-none-s,12,1000,4,36000,103611166,2878, 24793
list-none-s,1,1000,8,3000,1045550,348, 44
list-none-s,2,1000,8,6000,7299460,1216, 268
list-none-s,4,1000,8,12000,13153703,1096, 1213
list-none-s,8,1000,8,24000,21133626,880, 3330
list-none-s,12,1000,8,36000,38891210,1080, 7469
list-none-s,1,1000,16,3000,825174,275, 42
list-none-s,2,1000,16,6000,4423901,737, 156
list-none-s,4,1000,16,12000,7300934,608, 437
list-none-s,8,1000,16,24000,10198930,424, 1150
list-none-s,12,1000,16,36000,18025168,500, 2787
